[Test] 1NN-Accur | CD 0.833750
[Test] 1NN-Accur | CD 0.781250
[Test] 1NN-Accur | CD 0.796250
[Test] 1NN-Accur | CD 0.796250
[Test] 1NN-Accur | CD 0.791250
[Test] 1NN-Accur | CD 0.752500
[Test] 1NN-Accur | CD 0.757500
[Test] 1NN-Accur | CD 0.746250
[Test] 1NN-Accur | CD 0.746250
[Test] 1NN-Accur | CD 0.733750
[Test] 1NN-Accur | CD 0.741250
[Test] 1NN-Accur | CD 0.730000
[Test] 1NN-Accur | CD 0.742500
[Test] 1NN-Accur | CD 0.732500
[Test] 1NN-Accur | CD 0.731250
[Test] 1NN-Accur | CD 0.726250
[Test] 1NN-Accur | CD 0.715000
[Test] 1NN-Accur | CD 0.761250
[Test] 1NN-Accur | CD 0.711250
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.738750
[Test] 1NN-Accur | CD 0.711250
[Test] 1NN-Accur | CD 0.722500
[Test] 1NN-Accur | CD 0.713750
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.720000
[Test] 1NN-Accur | CD 0.718750
[Test] 1NN-Accur | CD 0.695000
[Test] 1NN-Accur | CD 0.715000
[Test] 1NN-Accur | CD 0.692500
[Test] 1NN-Accur | CD 0.712500
[Test] 1NN-Accur | CD 0.687500
[Test] 1NN-Accur | CD 0.686250
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.701250
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.682500
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.687500
[Test] 1NN-Accur | CD 0.675000
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.681250
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.680000
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.685000
[Test] 1NN-Accur | CD 0.685000
[Test] 1NN-Accur | CD 0.678750
[Test] 1NN-Accur | CD 0.672500
[Test] 1NN-Accur | CD 0.672500
