[Test] MinMatDis | CD 0.037107
[Test] MinMatDis | CD 0.033299
[Test] MinMatDis | CD 0.034769
[Test] MinMatDis | CD 0.033051
[Test] MinMatDis | CD 0.033760
[Test] MinMatDis | CD 0.033561
[Test] MinMatDis | CD 0.032846
[Test] MinMatDis | CD 0.032270
[Test] MinMatDis | CD 0.032161
[Test] MinMatDis | CD 0.032807
[Test] MinMatDis | CD 0.031153
[Test] MinMatDis | CD 0.032371
[Test] MinMatDis | CD 0.032042
[Test] MinMatDis | CD 0.031605
[Test] MinMatDis | CD 0.031926
[Test] MinMatDis | CD 0.031625
[Test] MinMatDis | CD 0.031761
[Test] MinMatDis | CD 0.033269
[Test] MinMatDis | CD 0.031784
[Test] MinMatDis | CD 0.033279
[Test] MinMatDis | CD 0.031874
[Test] MinMatDis | CD 0.031135
[Test] MinMatDis | CD 0.031764
[Test] MinMatDis | CD 0.031860
[Test] MinMatDis | CD 0.031320
[Test] MinMatDis | CD 0.032118
[Test] MinMatDis | CD 0.030832
[Test] MinMatDis | CD 0.030580
[Test] MinMatDis | CD 0.031440
[Test] MinMatDis | CD 0.031461
[Test] MinMatDis | CD 0.031376
[Test] MinMatDis | CD 0.030857
[Test] MinMatDis | CD 0.030325
[Test] MinMatDis | CD 0.030930
[Test] MinMatDis | CD 0.031942
[Test] MinMatDis | CD 0.030464
[Test] MinMatDis | CD 0.030141
[Test] MinMatDis | CD 0.030615
[Test] MinMatDis | CD 0.030781
[Test] MinMatDis | CD 0.030488
[Test] MinMatDis | CD 0.030007
[Test] MinMatDis | CD 0.030692
[Test] MinMatDis | CD 0.031072
[Test] MinMatDis | CD 0.030926
[Test] MinMatDis | CD 0.030244
[Test] MinMatDis | CD 0.030660
[Test] MinMatDis | CD 0.031259
[Test] MinMatDis | CD 0.030948
[Test] MinMatDis | CD 0.030068
[Test] MinMatDis | CD 0.030343
[Test] MinMatDis | CD 0.031534
[Test] MinMatDis | CD 0.030793
[Test] MinMatDis | CD 0.030835
