[Test] 1NN-Accur | CD 0.841250
[Test] 1NN-Accur | CD 0.808750
[Test] 1NN-Accur | CD 0.793750
[Test] 1NN-Accur | CD 0.788750
[Test] 1NN-Accur | CD 0.778750
[Test] 1NN-Accur | CD 0.787500
[Test] 1NN-Accur | CD 0.777500
[Test] 1NN-Accur | CD 0.758750
[Test] 1NN-Accur | CD 0.765000
[Test] 1NN-Accur | CD 0.760000
[Test] 1NN-Accur | CD 0.737500
[Test] 1NN-Accur | CD 0.753750
[Test] 1NN-Accur | CD 0.761250
[Test] 1NN-Accur | CD 0.731250
[Test] 1NN-Accur | CD 0.760000
[Test] 1NN-Accur | CD 0.736250
[Test] 1NN-Accur | CD 0.736250
[Test] 1NN-Accur | CD 0.743750
[Test] 1NN-Accur | CD 0.750000
[Test] 1NN-Accur | CD 0.747500
[Test] 1NN-Accur | CD 0.746250
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.726250
[Test] 1NN-Accur | CD 0.727500
[Test] 1NN-Accur | CD 0.725000
[Test] 1NN-Accur | CD 0.732500
[Test] 1NN-Accur | CD 0.715000
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.725000
[Test] 1NN-Accur | CD 0.711250
[Test] 1NN-Accur | CD 0.697500
[Test] 1NN-Accur | CD 0.715000
[Test] 1NN-Accur | CD 0.706250
[Test] 1NN-Accur | CD 0.690000
[Test] 1NN-Accur | CD 0.716250
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.720000
[Test] 1NN-Accur | CD 0.683750
[Test] 1NN-Accur | CD 0.706250
[Test] 1NN-Accur | CD 0.686250
[Test] 1NN-Accur | CD 0.710000
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.681250
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.711250
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.705000
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.698750
