[Test] 1NN-Accur | CD 0.862500
[Test] 1NN-Accur | CD 0.807500
[Test] 1NN-Accur | CD 0.788750
[Test] 1NN-Accur | CD 0.775000
[Test] 1NN-Accur | CD 0.787500
[Test] 1NN-Accur | CD 0.777500
[Test] 1NN-Accur | CD 0.770000
[Test] 1NN-Accur | CD 0.780000
[Test] 1NN-Accur | CD 0.738750
[Test] 1NN-Accur | CD 0.772500
[Test] 1NN-Accur | CD 0.766250
[Test] 1NN-Accur | CD 0.770000
[Test] 1NN-Accur | CD 0.760000
[Test] 1NN-Accur | CD 0.725000
[Test] 1NN-Accur | CD 0.745000
[Test] 1NN-Accur | CD 0.751250
[Test] 1NN-Accur | CD 0.741250
[Test] 1NN-Accur | CD 0.743750
[Test] 1NN-Accur | CD 0.753750
[Test] 1NN-Accur | CD 0.753750
[Test] 1NN-Accur | CD 0.731250
[Test] 1NN-Accur | CD 0.726250
[Test] 1NN-Accur | CD 0.731250
[Test] 1NN-Accur | CD 0.730000
[Test] 1NN-Accur | CD 0.722500
[Test] 1NN-Accur | CD 0.710000
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.727500
[Test] 1NN-Accur | CD 0.737500
[Test] 1NN-Accur | CD 0.722500
[Test] 1NN-Accur | CD 0.725000
[Test] 1NN-Accur | CD 0.728750
[Test] 1NN-Accur | CD 0.696250
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.708750
[Test] 1NN-Accur | CD 0.698750
[Test] 1NN-Accur | CD 0.708750
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.718750
[Test] 1NN-Accur | CD 0.715000
[Test] 1NN-Accur | CD 0.726250
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.695000
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.683750
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.692500
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.678750
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.698750
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.692500
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.700000
[Test] 1NN-Accur | CD 0.706250
[Test] 1NN-Accur | CD 0.687500
[Test] 1NN-Accur | CD 0.691250
[Test] 1NN-Accur | CD 0.701250
[Test] 1NN-Accur | CD 0.706250
[Test] 1NN-Accur | CD 0.672500
[Test] 1NN-Accur | CD 0.681250
[Test] 1NN-Accur | CD 0.686250
[Test] 1NN-Accur | CD 0.705000
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.681250
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.705000
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.712500
[Test] 1NN-Accur | CD 0.717500
[Test] 1NN-Accur | CD 0.701250
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.702500
[Test] 1NN-Accur | CD 0.708750
[Test] 1NN-Accur | CD 0.687500
[Test] 1NN-Accur | CD 0.695000
[Test] 1NN-Accur | CD 0.693750
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.707500
[Test] 1NN-Accur | CD 0.701250
[Test] 1NN-Accur | CD 0.690000
[Test] 1NN-Accur | CD 0.703750
[Test] 1NN-Accur | CD 0.695000
[Test] 1NN-Accur | CD 0.685000
[Test] 1NN-Accur | CD 0.697500
[Test] 1NN-Accur | CD 0.697500
[Test] 1NN-Accur | CD 0.688750
[Test] 1NN-Accur | CD 0.695000
[Test] 1NN-Accur | CD 0.676250
[Test] 1NN-Accur | CD 0.697500
[Test] 1NN-Accur | CD 0.701250
