[Test] MinMatDis | CD 0.040850
[Test] MinMatDis | CD 0.034609
[Test] MinMatDis | CD 0.034092
[Test] MinMatDis | CD 0.033814
[Test] MinMatDis | CD 0.033529
[Test] MinMatDis | CD 0.033209
[Test] MinMatDis | CD 0.033622
[Test] MinMatDis | CD 0.033773
[Test] MinMatDis | CD 0.032828
[Test] MinMatDis | CD 0.032445
[Test] MinMatDis | CD 0.033283
[Test] MinMatDis | CD 0.032550
[Test] MinMatDis | CD 0.033650
[Test] MinMatDis | CD 0.031992
[Test] MinMatDis | CD 0.033049
[Test] MinMatDis | CD 0.033332
[Test] MinMatDis | CD 0.032392
[Test] MinMatDis | CD 0.032879
[Test] MinMatDis | CD 0.033442
[Test] MinMatDis | CD 0.031985
[Test] MinMatDis | CD 0.031766
[Test] MinMatDis | CD 0.031967
[Test] MinMatDis | CD 0.031964
[Test] MinMatDis | CD 0.031401
[Test] MinMatDis | CD 0.031637
[Test] MinMatDis | CD 0.031820
[Test] MinMatDis | CD 0.032013
[Test] MinMatDis | CD 0.030781
[Test] MinMatDis | CD 0.032125
[Test] MinMatDis | CD 0.032517
[Test] MinMatDis | CD 0.031814
[Test] MinMatDis | CD 0.032202
[Test] MinMatDis | CD 0.031733
[Test] MinMatDis | CD 0.031397
[Test] MinMatDis | CD 0.031811
[Test] MinMatDis | CD 0.031266
[Test] MinMatDis | CD 0.031121
[Test] MinMatDis | CD 0.031581
[Test] MinMatDis | CD 0.030930
[Test] MinMatDis | CD 0.031238
[Test] MinMatDis | CD 0.031123
[Test] MinMatDis | CD 0.030743
[Test] MinMatDis | CD 0.031920
[Test] MinMatDis | CD 0.031276
[Test] MinMatDis | CD 0.031142
[Test] MinMatDis | CD 0.030976
[Test] MinMatDis | CD 0.030823
[Test] MinMatDis | CD 0.030869
[Test] MinMatDis | CD 0.031215
[Test] MinMatDis | CD 0.030762
[Test] MinMatDis | CD 0.032141
[Test] MinMatDis | CD 0.031367
[Test] MinMatDis | CD 0.031363
[Test] MinMatDis | CD 0.030799
[Test] MinMatDis | CD 0.030920
[Test] MinMatDis | CD 0.030989
[Test] MinMatDis | CD 0.031234
[Test] MinMatDis | CD 0.030851
[Test] MinMatDis | CD 0.031164
[Test] MinMatDis | CD 0.030915
[Test] MinMatDis | CD 0.031006
[Test] MinMatDis | CD 0.030768
[Test] MinMatDis | CD 0.031057
[Test] MinMatDis | CD 0.031078
[Test] MinMatDis | CD 0.031225
[Test] MinMatDis | CD 0.030576
[Test] MinMatDis | CD 0.031292
[Test] MinMatDis | CD 0.031252
[Test] MinMatDis | CD 0.030249
[Test] MinMatDis | CD 0.031569
[Test] MinMatDis | CD 0.030935
[Test] MinMatDis | CD 0.030399
[Test] MinMatDis | CD 0.031593
[Test] MinMatDis | CD 0.031335
[Test] MinMatDis | CD 0.030864
[Test] MinMatDis | CD 0.030913
[Test] MinMatDis | CD 0.031030
[Test] MinMatDis | CD 0.030921
[Test] MinMatDis | CD 0.030619
[Test] MinMatDis | CD 0.031140
[Test] MinMatDis | CD 0.032134
[Test] MinMatDis | CD 0.031030
[Test] MinMatDis | CD 0.031616
[Test] MinMatDis | CD 0.031276
[Test] MinMatDis | CD 0.031222
[Test] MinMatDis | CD 0.031841
[Test] MinMatDis | CD 0.030762
[Test] MinMatDis | CD 0.030811
[Test] MinMatDis | CD 0.031823
[Test] MinMatDis | CD 0.030846
[Test] MinMatDis | CD 0.031303
[Test] MinMatDis | CD 0.030746
[Test] MinMatDis | CD 0.030933
[Test] MinMatDis | CD 0.031758
[Test] MinMatDis | CD 0.031194
[Test] MinMatDis | CD 0.031031
[Test] MinMatDis | CD 0.030756
[Test] MinMatDis | CD 0.030751
[Test] MinMatDis | CD 0.030866
[Test] MinMatDis | CD 0.031065
[Test] MinMatDis | CD 0.030836
[Test] MinMatDis | CD 0.032555
[Test] MinMatDis | CD 0.030668
