[Test] Coverage  | CD 0.335000
[Test] Coverage  | CD 0.385000
[Test] Coverage  | CD 0.382500
[Test] Coverage  | CD 0.420000
[Test] Coverage  | CD 0.400000
[Test] Coverage  | CD 0.382500
[Test] Coverage  | CD 0.390000
[Test] Coverage  | CD 0.430000
[Test] Coverage  | CD 0.420000
[Test] Coverage  | CD 0.405000
[Test] Coverage  | CD 0.395000
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.407500
[Test] Coverage  | CD 0.432500
[Test] Coverage  | CD 0.420000
[Test] Coverage  | CD 0.400000
[Test] Coverage  | CD 0.432500
[Test] Coverage  | CD 0.392500
[Test] Coverage  | CD 0.387500
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.442500
[Test] Coverage  | CD 0.442500
[Test] Coverage  | CD 0.450000
[Test] Coverage  | CD 0.417500
[Test] Coverage  | CD 0.425000
[Test] Coverage  | CD 0.410000
[Test] Coverage  | CD 0.422500
[Test] Coverage  | CD 0.422500
[Test] Coverage  | CD 0.425000
[Test] Coverage  | CD 0.410000
[Test] Coverage  | CD 0.412500
[Test] Coverage  | CD 0.402500
[Test] Coverage  | CD 0.440000
[Test] Coverage  | CD 0.435000
[Test] Coverage  | CD 0.442500
[Test] Coverage  | CD 0.462500
[Test] Coverage  | CD 0.410000
[Test] Coverage  | CD 0.425000
[Test] Coverage  | CD 0.442500
[Test] Coverage  | CD 0.425000
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.422500
[Test] Coverage  | CD 0.435000
[Test] Coverage  | CD 0.407500
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.440000
[Test] Coverage  | CD 0.440000
[Test] Coverage  | CD 0.415000
[Test] Coverage  | CD 0.427500
[Test] Coverage  | CD 0.417500
