[Test] MinMatDis | CD 0.037892
[Test] MinMatDis | CD 0.035176
[Test] MinMatDis | CD 0.034948
[Test] MinMatDis | CD 0.034152
[Test] MinMatDis | CD 0.033180
[Test] MinMatDis | CD 0.033740
[Test] MinMatDis | CD 0.033100
[Test] MinMatDis | CD 0.032178
[Test] MinMatDis | CD 0.033049
[Test] MinMatDis | CD 0.033637
[Test] MinMatDis | CD 0.032264
[Test] MinMatDis | CD 0.034223
[Test] MinMatDis | CD 0.032436
[Test] MinMatDis | CD 0.032217
[Test] MinMatDis | CD 0.033785
[Test] MinMatDis | CD 0.032365
[Test] MinMatDis | CD 0.031783
[Test] MinMatDis | CD 0.033008
[Test] MinMatDis | CD 0.032948
[Test] MinMatDis | CD 0.031599
[Test] MinMatDis | CD 0.032307
[Test] MinMatDis | CD 0.031490
[Test] MinMatDis | CD 0.031721
[Test] MinMatDis | CD 0.031994
[Test] MinMatDis | CD 0.031745
[Test] MinMatDis | CD 0.031604
[Test] MinMatDis | CD 0.031248
[Test] MinMatDis | CD 0.032420
[Test] MinMatDis | CD 0.032007
[Test] MinMatDis | CD 0.031366
[Test] MinMatDis | CD 0.031033
[Test] MinMatDis | CD 0.031104
[Test] MinMatDis | CD 0.031699
[Test] MinMatDis | CD 0.031015
[Test] MinMatDis | CD 0.030814
[Test] MinMatDis | CD 0.031001
[Test] MinMatDis | CD 0.030343
[Test] MinMatDis | CD 0.030952
[Test] MinMatDis | CD 0.030527
[Test] MinMatDis | CD 0.030083
[Test] MinMatDis | CD 0.031091
[Test] MinMatDis | CD 0.030860
[Test] MinMatDis | CD 0.030448
[Test] MinMatDis | CD 0.030978
[Test] MinMatDis | CD 0.030526
[Test] MinMatDis | CD 0.031969
[Test] MinMatDis | CD 0.030986
[Test] MinMatDis | CD 0.030985
[Test] MinMatDis | CD 0.030647
[Test] MinMatDis | CD 0.030760
[Test] MinMatDis | CD 0.031990
[Test] MinMatDis | CD 0.030478
[Test] MinMatDis | CD 0.031029
[Test] MinMatDis | CD 0.030957
[Test] MinMatDis | CD 0.031144
[Test] MinMatDis | CD 0.030359
[Test] MinMatDis | CD 0.029811
[Test] MinMatDis | CD 0.030685
[Test] MinMatDis | CD 0.029760
[Test] MinMatDis | CD 0.030461
[Test] MinMatDis | CD 0.031201
[Test] MinMatDis | CD 0.030845
[Test] MinMatDis | CD 0.031052
[Test] MinMatDis | CD 0.031331
[Test] MinMatDis | CD 0.030598
[Test] MinMatDis | CD 0.031810
[Test] MinMatDis | CD 0.031178
[Test] MinMatDis | CD 0.031169
[Test] MinMatDis | CD 0.030582
[Test] MinMatDis | CD 0.030887
[Test] MinMatDis | CD 0.030498
[Test] MinMatDis | CD 0.030411
[Test] MinMatDis | CD 0.030863
[Test] MinMatDis | CD 0.030243
[Test] MinMatDis | CD 0.030890
[Test] MinMatDis | CD 0.031709
[Test] MinMatDis | CD 0.030673
