[Test] Coverage  | CD 0.147500 | EMD 0.057500
[Test] Coverage  | CD 0.270000 | EMD 0.075000
[Test] Coverage  | CD 0.287500 | EMD 0.100000
[Test] Coverage  | CD 0.322500 | EMD 0.132500
[Test] Coverage  | CD 0.355000 | EMD 0.142500
[Test] Coverage  | CD 0.345000 | EMD 0.195000
[Test] Coverage  | CD 0.375000 | EMD 0.177500
[Test] Coverage  | CD 0.335000 | EMD 0.162500
[Test] Coverage  | CD 0.362500 | EMD 0.200000
[Test] Coverage  | CD 0.352500 | EMD 0.182500
[Test] Coverage  | CD 0.372500 | EMD 0.210000
[Test] Coverage  | CD 0.357500 | EMD 0.212500
[Test] Coverage  | CD 0.372500 | EMD 0.180000
[Test] Coverage  | CD 0.400000 | EMD 0.212500
[Test] Coverage  | CD 0.385000 | EMD 0.215000
[Test] Coverage  | CD 0.355000 | EMD 0.185000
[Test] Coverage  | CD 0.370000 | EMD 0.202500
[Test] Coverage  | CD 0.375000 | EMD 0.247500
[Test] Coverage  | CD 0.390000 | EMD 0.227500
[Test] Coverage  | CD 0.400000 | EMD 0.177500
[Test] Coverage  | CD 0.392500 | EMD 0.232500
[Test] Coverage  | CD 0.360000 | EMD 0.230000
[Test] Coverage  | CD 0.387500 | EMD 0.207500
[Test] Coverage  | CD 0.382500 | EMD 0.267500
[Test] Coverage  | CD 0.412500 | EMD 0.220000
[Test] Coverage  | CD 0.380000 | EMD 0.237500
[Test] Coverage  | CD 0.390000 | EMD 0.227500
[Test] Coverage  | CD 0.395000 | EMD 0.225000
[Test] Coverage  | CD 0.387500 | EMD 0.205000
[Test] Coverage  | CD 0.397500 | EMD 0.255000
[Test] Coverage  | CD 0.402500 | EMD 0.230000
[Test] Coverage  | CD 0.415000 | EMD 0.255000
[Test] Coverage  | CD 0.390000 | EMD 0.227500
[Test] Coverage  | CD 0.402500 | EMD 0.257500
[Test] Coverage  | CD 0.395000 | EMD 0.267500
[Test] Coverage  | CD 0.397500 | EMD 0.257500
[Test] Coverage  | CD 0.387500 | EMD 0.242500
[Test] Coverage  | CD 0.420000 | EMD 0.235000
[Test] Coverage  | CD 0.382500 | EMD 0.265000
[Test] Coverage  | CD 0.395000 | EMD 0.265000
[Test] Coverage  | CD 0.370000 | EMD 0.252500
